id	value	wdID	rwID
515066	Reaction	NA	ReactionID_All:2209
514569	Reaction	NA	ReactionID_All:5244
508228	Metabolite	Q306140	NA
513721	Reaction	NA	ReactionID_All:5544
515320	Reaction	NA	ReactionID_All:1838
511185	Reaction	NA	ReactionID_All:5540
512047	Reaction	NA	ReactionID_All:5225
515354	Reaction	NA	ReactionID_All:5917
509489	Reaction	NA	ReactionID_All:3055
513490	Reaction	NA	ReactionID_All:5800
508126	Metabolite	Q4634163	NA
512985	Reaction	NA	ReactionID_All:1182
511457	Reaction	NA	ReactionID_All:1839
515537	Reaction	NA	ReactionID_All:1145
507334	Metabolite	Q27104171	NA
511428	Reaction	NA	ReactionID_All:5689
507938	Metabolite	Q27102203	NA
515151	Reaction	NA	ReactionID_All:5581
507982	Metabolite	Q27104844	NA
512941	Reaction	NA	ReactionID_All:5598
510541	Reaction	NA	ReactionID_All:7193
514380	Reaction	NA	ReactionID_All:5573
508627	Metabolite	Q27104644	NA
508274	Metabolite	Q4673311	NA
511024	Reaction	NA	ReactionID_All:7076
508062	Metabolite	Q28529674	NA
512764	Reaction	NA	ReactionID_All:7117
508827	Metabolite	Q27103664	NA
508921	Metabolite	Q27102446	NA
513881	Reaction	NA	ReactionID_All:7077
516486	Reaction	NA	ReactionID_All:312
508209	Metabolite	Q27098422	NA
511184	Reaction	NA	ReactionID_All:311
